gender,region,highest_education,imd_band,age_band,disability,final_result
M,East Anglian Region,HE Qualification,90-100%,55+,N,Pass
F,Scotland,HE Qualification,20-30%,35-55,N,Pass
F,North Western Region,A Level or Equivalent,30-40%,35-55,Y,Withdrawn
F,South East Region,A Level or Equivalent,50-60%,35-55,N,Pass
F,West Midlands Region,Lower Than A Level,50-60%,0-35,N,Pass
M,Wales,A Level or Equivalent,80-90%,35-55,N,Pass
M,Scotland,HE Qualification,30-40%,0-35,N,Pass
F,North Western Region,A Level or Equivalent,90-100%,0-35,N,Pass
F,East Anglian Region,A Level or Equivalent,70-80%,0-35,N,Pass
M,South Region,Lower Than A Level,70-80%,35-55,N,Pass
F,East Anglian Region,A Level or Equivalent,20-30%,0-35,N,Pass
M,East Anglian Region,Lower Than A Level,60-70%,35-55,N,Pass
F,North Western Region,HE Qualification,50-60%,0-35,N,Pass
M,Scotland,Lower Than A Level,40-50%,35-55,N,Pass
F,East Anglian Region,A Level or Equivalent,70-80%,0-35,N,Withdrawn
F,West Midlands Region,A Level or Equivalent,60-70%,35-55,N,Pass
M,East Anglian Region,A Level or Equivalent,10-20%,35-55,N,Fail
M,South West Region,A Level or Equivalent,30-40%,35-55,N,Pass
M,East Midlands Region,A Level or Equivalent,30-40%,0-35,N,Pass
M,North Western Region,HE Qualification,0-10%,0-35,N,Pass
M,South Region,Lower Than A Level,70-80%,35-55,N,Withdrawn
M,Wales,Lower Than A Level,70-80%,35-55,N,Pass
M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,N,Pass
M,South Region,Lower Than A Level,80-90%,35-55,N,Pass
M,North Western Region,A Level or Equivalent,30-40%,0-35,N,Pass
M,London Region,HE Qualification,60-70%,0-35,N,Pass
M,South Region,HE Qualification,80-90%,35-55,N,Withdrawn
M,East Midlands Region,Lower Than A Level,20-30%,0-35,N,Pass
M,East Anglian Region,HE Qualification,80-90%,35-55,N,Pass
F,East Anglian Region,HE Qualification,90-100%,35-55,N,Pass
M,Yorkshire Region,Lower Than A Level,60-70%,35-55,N,Pass
M,Yorkshire Region,HE Qualification,60-70%,35-55,N,Pass
M,Wales,HE Qualification,0-10%,0-35,N,Pass
M,East Anglian Region,A Level or Equivalent,70-80%,35-55,N,Pass
M,East Midlands Region,HE Qualification,30-40%,0-35,N,Pass
M,South Region,A Level or Equivalent,40-50%,35-55,N,Pass
F,East Midlands Region,A Level or Equivalent,40-50%,0-35,N,Pass
M,West Midlands Region,A Level or Equivalent,50-60%,0-35,N,Withdrawn
